ProvinceCode,RegistrationMonth,RegistrationYear,Spouse1Age,Spouse2Age,AgeDiff
Western Cape,July,2018,25,31,Spouses-1 younger
Western Cape,July,2018,55,40,Spouses-1 older
Western Cape,July,2018,29,28,Spouses-1 older
Western Cape,July,2018,49,28,Spouses-1 older
Western Cape,July,2018,35,39,Spouses-1 younger
Western Cape,August,2018,32,27,Spouses-1 older
Western Cape,August,2018,38,31,Spouses-1 older
Western Cape,August,2018,64,49,Spouses-1 older
Western Cape,August,2018,54,55,Spouses-1 younger
Western Cape,August,2018,30,31,Spouses-1 younger
Western Cape,August,2018,28,26,Spouses-1 older
Western Cape,August,2018,58,56,Spouses-1 older
Western Cape,August,2018,37,36,Spouses-1 older
Western Cape,August,2018,34,30,Spouses-1 older
Western Cape,August,2018,28,28,Spouses same age
Western Cape,August,2018,30,26,Spouses-1 older
Western Cape,August,2018,35,28,Spouses-1 older
Western Cape,August,2018,31,28,Spouses-1 older
Western Cape,August,2018,26,23,Spouses-1 older
Western Cape,August,2018,52,38,Spouses-1 older
Western Cape,August,2018,31,31,Spouses same age
Western Cape,August,2018,31,37,Spouses-1 younger
Western Cape,August,2018,38,35,Spouses-1 older
Western Cape,August,2018,25,24,Spouses-1 older
Western Cape,August,2018,36,36,Spouses same age
Western Cape,August,2018,44,45,Spouses-1 younger
Western Cape,August,2018,26,31,Spouses-1 younger
Western Cape,September,2018,26,39,Spouses-1 younger
Western Cape,September,2018,33,30,Spouses-1 older
Western Cape,September,2018,30,25,Spouses-1 older
Western Cape,September,2018,25,27,Spouses-1 younger
Western Cape,September,2018,50,48,Spouses-1 older
Western Cape,September,2018,58,55,Spouses-1 older
Western Cape,September,2018,47,50,Spouses-1 younger
Western Cape,September,2018,33,32,Spouses-1 older
Western Cape,September,2018,62,67,Spouses-1 younger
Western Cape,September,2018,39,38,Spouses-1 older
Western Cape,September,2018,33,35,Spouses-1 younger
Western Cape,September,2018,29,30,Spouses-1 younger
Western Cape,September,2018,58,46,Spouses-1 older
Western Cape,September,2018,41,38,Spouses-1 older
Western Cape,September,2018,55,57,Spouses-1 younger
Western Cape,September,2018,22,22,Spouses same age
Western Cape,September,2018,36,31,Spouses-1 older
Western Cape,October,2018,31,27,Spouses-1 older
Western Cape,October,2018,47,29,Spouses-1 older
